descriptor,reason,r
Mordred_GATS7s,missing>0.2,
Mordred_GATS7se,missing>0.2,
Mordred_GATS7v,missing>0.2,
Mordred_GATS8Z,missing>0.2,
Mordred_GATS8are,missing>0.2,
Mordred_GATS8c,missing>0.2,
Mordred_GATS8d,missing>0.2,
Mordred_GATS8dv,missing>0.2,
Mordred_GATS8i,missing>0.2,
Mordred_GATS8m,missing>0.2,
Mordred_GATS8p,missing>0.2,
Mordred_GATS8pe,missing>0.2,
Mordred_GATS8s,missing>0.2,
Mordred_GATS8se,missing>0.2,
Mordred_GATS8v,missing>0.2,
Mordred_Kier3,missing>0.2,
Mordred_MATS5Z,missing>0.2,
Mordred_MATS5are,missing>0.2,
Mordred_MATS5c,missing>0.2,
Mordred_MATS5d,missing>0.2,
Mordred_MATS5dv,missing>0.2,
Mordred_MATS5i,missing>0.2,
Mordred_MATS5m,missing>0.2,
Mordred_MATS5p,missing>0.2,
Mordred_MATS5pe,missing>0.2,
Mordred_MATS5s,missing>0.2,
Mordred_MATS5se,missing>0.2,
Mordred_MATS5v,missing>0.2,
Mordred_MATS6Z,missing>0.2,
Mordred_MATS6are,missing>0.2,
Mordred_MATS6c,missing>0.2,
Mordred_MATS6d,missing>0.2,
Mordred_MATS6dv,missing>0.2,
Mordred_MATS6i,missing>0.2,
Mordred_MATS6m,missing>0.2,
Mordred_MATS6p,missing>0.2,
Mordred_MATS6pe,missing>0.2,
Mordred_MATS6s,missing>0.2,
Mordred_MATS6se,missing>0.2,
Mordred_MATS6v,missing>0.2,
Mordred_MATS7Z,missing>0.2,
Mordred_MATS7are,missing>0.2,
Mordred_MATS7c,missing>0.2,
Mordred_MATS7d,missing>0.2,
Mordred_MATS7dv,missing>0.2,
Mordred_MATS7i,missing>0.2,
Mordred_MATS7m,missing>0.2,
Mordred_MATS7p,missing>0.2,
Mordred_MATS7pe,missing>0.2,
Mordred_MATS7s,missing>0.2,
Mordred_MATS7se,missing>0.2,
Mordred_MATS7v,missing>0.2,
Mordred_MATS8Z,missing>0.2,
Mordred_MATS8are,missing>0.2,
Mordred_MATS8c,missing>0.2,
Mordred_MATS8d,missing>0.2,
Mordred_MATS8dv,missing>0.2,
Mordred_MATS8i,missing>0.2,
Mordred_MATS8m,missing>0.2,
Mordred_MATS8p,missing>0.2,
Mordred_MATS8pe,missing>0.2,
Mordred_MATS8s,missing>0.2,
Mordred_MATS8se,missing>0.2,
Mordred_MATS8v,missing>0.2,
Mordred_MAXaaCH,missing>0.2,
Mordred_MAXaasC,missing>0.2,
Mordred_MAXdO,missing>0.2,
Mordred_MAXdssC,missing>0.2,
Mordred_MAXsBr,missing>0.2,
Mordred_MAXsCH3,missing>0.2,
Mordred_MAXsCl,missing>0.2,
Mordred_MAXsF,missing>0.2,
Mordred_MAXsNH2,missing>0.2,
Mordred_MAXsOH,missing>0.2,
Mordred_MAXssCH2,missing>0.2,
Mordred_MAXssNH,missing>0.2,
Mordred_MAXssO,missing>0.2,
Mordred_MAXsssCH,missing>0.2,
Mordred_MAXsssN,missing>0.2,
Mordred_MAXssssC,missing>0.2,
Mordred_MDEC-11,missing>0.2,
Mordred_MDEC-12,missing>0.2,
Mordred_MDEC-13,missing>0.2,
Mordred_MDEC-14,missing>0.2,
Mordred_MDEC-22,missing>0.2,
Mordred_MDEC-23,missing>0.2,
Mordred_MDEO-11,missing>0.2,
Mordred_MINaaCH,missing>0.2,
Mordred_MINaasC,missing>0.2,
Mordred_MINdO,missing>0.2,
Mordred_MINdssC,missing>0.2,
Mordred_MINsBr,missing>0.2,
Mordred_MINsCH3,missing>0.2,
Mordred_MINsCl,missing>0.2,
Mordred_MINsF,missing>0.2,
Mordred_MINsNH2,missing>0.2,
Mordred_MINsOH,missing>0.2,
Mordred_MINssCH2,missing>0.2,
Mordred_MINssNH,missing>0.2,
Mordred_MINssO,missing>0.2,
Mordred_MINsssCH,missing>0.2,
Mordred_MINsssN,missing>0.2,
Mordred_MINssssC,missing>0.2,
Mordred_ATS7dv,constant,
Mordred_ATS8dv,constant,
Mordred_C1SP1,constant,
Mordred_C2SP1,constant,
Mordred_C4SP3,constant,
Mordred_GGI10,constant,
Mordred_GGI7,constant,
Mordred_GGI8,constant,
Mordred_GGI9,constant,
Mordred_GhoseFilter,constant,
Mordred_JGI10,constant,
Mordred_JGI7,constant,
Mordred_JGI8,constant,
Mordred_JGI9,constant,
Mordred_Lipinski,constant,
Mordred_MPC10,constant,
Mordred_MPC9,constant,
Mordred_NaaN,constant,
Mordred_NaaNH,constant,
Mordred_NaaO,constant,
Mordred_NaaS,constant,
Mordred_NaaSe,constant,
Mordred_NaaaC,constant,
Mordred_NaasN,constant,
Mordred_NdCH2,constant,
Mordred_NdNH,constant,
Mordred_NdS,constant,
Mordred_NdSe,constant,
Mordred_NddC,constant,
Mordred_NddsN,constant,
Mordred_NddssS,constant,
Mordred_NddssSe,constant,
Mordred_NdsCH,constant,
Mordred_NdsN,constant,
Mordred_NdssS,constant,
Mordred_NdssSe,constant,
Mordred_NdsssP,constant,
Mordred_NsAsH2,constant,
Mordred_NsGeH3,constant,
Mordred_NsI,constant,
Mordred_NsLi,constant,
Mordred_NsNH3,constant,
