descriptor,reason,r
MATS8p,missing>0.2,
MATS5i,missing>0.2,
MATS6i,missing>0.2,
MATS7i,missing>0.2,
MATS8i,missing>0.2,
GATS5c,missing>0.2,
GATS6c,missing>0.2,
GATS7c,missing>0.2,
GATS8c,missing>0.2,
GATS5dv,missing>0.2,
GATS6dv,missing>0.2,
GATS7dv,missing>0.2,
GATS8dv,missing>0.2,
GATS5d,missing>0.2,
GATS6d,missing>0.2,
GATS7d,missing>0.2,
GATS8d,missing>0.2,
GATS5s,missing>0.2,
GATS6s,missing>0.2,
GATS7s,missing>0.2,
GATS8s,missing>0.2,
GATS5Z,missing>0.2,
GATS6Z,missing>0.2,
GATS7Z,missing>0.2,
GATS8Z,missing>0.2,
GATS5m,missing>0.2,
GATS6m,missing>0.2,
GATS7m,missing>0.2,
GATS8m,missing>0.2,
GATS5v,missing>0.2,
GATS6v,missing>0.2,
GATS7v,missing>0.2,
GATS8v,missing>0.2,
GATS5se,missing>0.2,
GATS6se,missing>0.2,
GATS7se,missing>0.2,
GATS8se,missing>0.2,
GATS5pe,missing>0.2,
GATS6pe,missing>0.2,
GATS7pe,missing>0.2,
GATS8pe,missing>0.2,
GATS5are,missing>0.2,
GATS6are,missing>0.2,
GATS7are,missing>0.2,
GATS8are,missing>0.2,
GATS5p,missing>0.2,
GATS6p,missing>0.2,
GATS7p,missing>0.2,
GATS8p,missing>0.2,
GATS5i,missing>0.2,
GATS6i,missing>0.2,
GATS7i,missing>0.2,
GATS8i,missing>0.2,
AXp-3d,missing>0.2,
AXp-4d,missing>0.2,
AXp-5d,missing>0.2,
AXp-6d,missing>0.2,
AXp-7d,missing>0.2,
AXp-3dv,missing>0.2,
AXp-4dv,missing>0.2,
AXp-5dv,missing>0.2,
AXp-6dv,missing>0.2,
AXp-7dv,missing>0.2,
MAXsCH3,missing>0.2,
MAXssCH2,missing>0.2,
MAXaaCH,missing>0.2,
MAXsssCH,missing>0.2,
MAXdssC,missing>0.2,
MAXaasC,missing>0.2,
MAXssssC,missing>0.2,
MAXsNH2,missing>0.2,
MAXssNH,missing>0.2,
MAXaaN,missing>0.2,
MAXsOH,missing>0.2,
MAXdO,missing>0.2,
MAXssO,missing>0.2,
MAXsCl,missing>0.2,
MAXsBr,missing>0.2,
MAXsI,missing>0.2,
MINsCH3,missing>0.2,
MINssCH2,missing>0.2,
MINaaCH,missing>0.2,
MINsssCH,missing>0.2,
MINdssC,missing>0.2,
MINaasC,missing>0.2,
MINssssC,missing>0.2,
MINsNH2,missing>0.2,
MINssNH,missing>0.2,
MINaaN,missing>0.2,
MINsOH,missing>0.2,
MINdO,missing>0.2,
MINssO,missing>0.2,
MINsCl,missing>0.2,
MINsBr,missing>0.2,
MINsI,missing>0.2,
Kier3,missing>0.2,
MDEC-11,missing>0.2,
MDEC-12,missing>0.2,
MDEC-13,missing>0.2,
MDEC-14,missing>0.2,
MDEC-22,missing>0.2,
MDEC-23,missing>0.2,
MDEO-11,missing>0.2,
MDEO-12,missing>0.2,
nSpiro,constant,
nBridgehead,constant,
nB,constant,
nS,constant,
nP,constant,
nF,constant,
ATS7dv,constant,
ATS8dv,constant,
nBondsT,constant,
C1SP1,constant,
C2SP1,constant,
C4SP3,constant,
Xch-3d,constant,
Xch-4d,constant,
Xch-5d,constant,
Xch-3dv,constant,
Xch-4dv,constant,
Xch-5dv,constant,
Xc-5d,constant,
Xc-6d,constant,
Xc-5dv,constant,
Xc-6dv,constant,
NsLi,constant,
NssBe,constant,
NssssBe,constant,
NssBH,constant,
NsssB,constant,
NssssB,constant,
NdCH2,constant,
NtCH,constant,
NdsCH,constant,
NddC,constant,
NtsC,constant,
NaaaC,constant,
NsNH3,constant,
NssNH2,constant,
NdNH,constant,
NaaNH,constant,
NtN,constant,
NsssNH,constant,
NdsN,constant,
NsssN,constant,
NddsN,constant,
NaasN,constant,
NssssN,constant,
NaaO,constant,
NsF,constant,
NsSiH3,constant,
NssSiH2,constant,
NsssSiH,constant,
NssssSi,constant,
NsPH2,constant,
NssPH,constant,
NsssP,constant,
NdsssP,constant,
NsssssP,constant,
NsSH,constant,
NdS,constant,
NssS,constant,
NaaS,constant,
NdssS,constant,
NddssS,constant,
NsGeH3,constant,
NssGeH2,constant,
NsssGeH,constant,
NssssGe,constant,
NsAsH2,constant,
NssAsH,constant,
NsssAs,constant,
NsssdAs,constant,
NsssssAs,constant,
NsSeH,constant,
NdSe,constant,
NssSe,constant,
NaaSe,constant,
NdssSe,constant,
NddssSe,constant,
NsSnH3,constant,
NssSnH2,constant,
NsssSnH,constant,
NssssSn,constant,
NsPbH3,constant,
NssPbH2,constant,
NsssPbH,constant,
NssssPb,constant,
SsLi,constant,
SssBe,constant,
SssssBe,constant,
SssBH,constant,
SsssB,constant,
SssssB,constant,
SdCH2,constant,
StCH,constant,
SdsCH,constant,
SddC,constant,
StsC,constant,
SaaaC,constant,
SsNH3,constant,
SssNH2,constant,
SdNH,constant,
SaaNH,constant,
StN,constant,
SsssNH,constant,
SdsN,constant,
SsssN,constant,
SddsN,constant,
SaasN,constant,
SssssN,constant,
SaaO,constant,
SsF,constant,
SsSiH3,constant,
SssSiH2,constant,
SsssSiH,constant,
SssssSi,constant,
SsPH2,constant,
SssPH,constant,
SsssP,constant,
SdsssP,constant,
SsssssP,constant,
SsSH,constant,
SdS,constant,
SssS,constant,
SaaS,constant,
SdssS,constant,
SddssS,constant,
SsGeH3,constant,
SssGeH2,constant,
SsssGeH,constant,
SssssGe,constant,
SsAsH2,constant,
SssAsH,constant,
SsssAs,constant,
SsssdAs,constant,
SsssssAs,constant,
SsSeH,constant,
SdSe,constant,
SssSe,constant,
SaaSe,constant,
SdssSe,constant,
SddssSe,constant,
SsSnH3,constant,
SssSnH2,constant,
SsssSnH,constant,
SssssSn,constant,
SsPbH3,constant,
SssPbH2,constant,
SsssPbH,constant,
SssssPb,constant,
Lipinski,constant,
GhoseFilter,constant,
PEOE_VSA3,constant,
PEOE_VSA4,constant,
PEOE_VSA10,constant,
PEOE_VSA11,constant,
PEOE_VSA12,constant,
SMR_VSA2,constant,
SMR_VSA8,constant,
SMR_VSA9,constant,
SlogP_VSA8,constant,
SlogP_VSA9,constant,
SlogP_VSA11,constant,
MPC8,constant,
MPC9,constant,
MPC10,constant,
piPC8,constant,
piPC9,constant,
piPC10,constant,
n3Ring,constant,
n4Ring,constant,
n5Ring,constant,
n7Ring,constant,
n8Ring,constant,
n9Ring,constant,
n10Ring,constant,
n11Ring,constant,
n12Ring,constant,
nG12Ring,constant,
n3HRing,constant,
n4HRing,constant,
n5HRing,constant,
n7HRing,constant,
n8HRing,constant,
n9HRing,constant,
n10HRing,constant,
n11HRing,constant,
n12HRing,constant,
nG12HRing,constant,
n3aRing,constant,
n4aRing,constant,
n5aRing,constant,
n7aRing,constant,
n8aRing,constant,
n9aRing,constant,
n10aRing,constant,
n11aRing,constant,
n12aRing,constant,
nG12aRing,constant,
n3aHRing,constant,
n4aHRing,constant,
n5aHRing,constant,
n7aHRing,constant,
n8aHRing,constant,
n9aHRing,constant,
n10aHRing,constant,
n11aHRing,constant,
n12aHRing,constant,
nG12aHRing,constant,
n3ARing,constant,
n4ARing,constant,
n5ARing,constant,
n7ARing,constant,
n8ARing,constant,
n9ARing,constant,
n10ARing,constant,
n11ARing,constant,
n12ARing,constant,
nG12ARing,constant,
nAHRing,constant,
n3AHRing,constant,
n4AHRing,constant,
n5AHRing,constant,
n6AHRing,constant,
n7AHRing,constant,
n8AHRing,constant,
n9AHRing,constant,
n10AHRing,constant,
