descriptor,reason,r
SpDiam_Dzm,correlated_with_SpDiam_DzZ,0.9999980898823748
VR3_Dzi,correlated_with_VR3_Dzare,0.9999977853684695
SpAD_Dzm,correlated_with_SpAD_DzZ,0.9999974870772231
SpMax_Dzm,correlated_with_SpMax_DzZ,0.9999973801945986
VE2_Dzare,correlated_with_VE2_Dzse,0.9999972913137758
VR1_Dzse,correlated_with_VR1_Dzare,0.9999971864864845
SpAbs_Dzm,correlated_with_SpAbs_DzZ,0.9999966509544671
VE1_Dzpe,correlated_with_VE1_Dzi,0.9999962398508858
VR2_Dzse,correlated_with_VR2_Dzpe,0.9999956420272923
VE2_Dzi,correlated_with_VE2_Dzse,0.9999950342410213
VE3_Dzi,correlated_with_VE3_D,0.9999948975031911
SpAD_Dzv,correlated_with_SpMax_Dzv,0.9999947519063592
SpMax_DzZ,correlated_with_SpAD_DzZ,0.9999938352351802
Sm,correlated_with_MW,0.9999921405697727
VR1_Dzi,correlated_with_VR1_Dzare,0.999991808468763
VE3_Dzv,correlated_with_VE3_Dzp,0.9999915825479521
VE3_DzZ,correlated_with_VE3_D,0.9999915376810017
SpAD_Dzi,correlated_with_SpAbs_Dzi,0.9999885285339933
SpMAD_Dzm,correlated_with_SpMAD_DzZ,0.9999871868707869
SpAbs_Dzse,correlated_with_SpMax_Dzse,0.9999862152767535
SpAbs_Dzpe,correlated_with_SpAD_Dzpe,0.9999860583191402
VR2_Dzpe,correlated_with_VR2_Dzare,0.9999860008402048
SRW02,correlated_with_VAdjMat,0.999985632684617
SpAbs_Dzare,correlated_with_SpAD_Dzare,0.9999831811219235
AMW,correlated_with_Mm,0.9999789981343067
SpAbs_Dzv,correlated_with_SpMax_Dzv,0.999977775578348
VR3_D,correlated_with_VR3_Dzare,0.9999756101068126
SpAD_Dzpe,correlated_with_SpAD_Dzare,0.9999725199527099
BCUTare-1h,correlated_with_BCUTpe-1h,0.9999719393188565
SpDiam_Dzare,correlated_with_SpDiam_Dzpe,0.9999712823984598
VR3_Dzare,correlated_with_VR3_Dzm,0.9999699011263816
SpMax_Dzp,correlated_with_SpAD_Dzp,0.999969744838272
SpAbs_DzZ,correlated_with_SpAD_DzZ,0.9999687680901276
VE3_D,correlated_with_VE3_Dzp,0.9999670939707144
VE2_D,correlated_with_VE2_Dzse,0.9999670507973231
VE2_Dzse,correlated_with_VE2_Dzm,0.9999664812935543
VR3_Dzp,correlated_with_VR3_Dzv,0.9999610875817886
ATS8are,correlated_with_ATS8pe,0.9999600503731005
AATSC1Z,correlated_with_AATSC1m,0.9999521148030649
VE1_DzZ,correlated_with_VE1_Dzi,0.99995098777114
