ID,SMILES,CAS-ID,Exp_log (rat toxicity)
51,CC(=O)C1=C(C)C(=C(C(=C1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,81-14-1,1.469
52,CC1=C(C)C(=C(C(=C1C)[N](=O)=O)C(C)(C)C)[N](=O)=O,145-39-1,1.647
53,CC1=C(C(=C(C(=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O)C)[N+]([O-])=O,81-15-2,1.473
54,COC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OCCN(C)CC3=CC=CC=C3)C,55985-32-5,3.176
55,OC1=CC=C(Cl)C=C1C(=O)NC2=CC=C(C=C2Cl)[N+]([O-])=O,50-65-7,2.117
56,COC(=O)C1=C(C)NC(=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OC)C,21829-25-4,2.53
57,[O-][N+](=O)C1=CC=C2NC(=O)CN=C(C3=CC=CC=C3)C2=C1,146-22-5,2.533
58,[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1,1836-75-5,2.584
59,OC1=CC=C(C=C1Cl)[N+]([O-])=O,619-08-9,2.285
60,CC(C)OC(=O)C1=CC(=CC(=C1)[N](=O)=O)C(=O)OC(C)C,10552-74-6,1.664
61,OC1=C2N=CC=CC2=C(C=C1)[N+]([O-])=O,4008-48-4,2.572
62,CC1=C(O)C=C(C=C1[N](=O)=O)[N](=O)=O,497-56-3,3.899
63,NC1=C(N)C=C(C=C1)[N+]([O-])=O,99-56-9,2.352
64,CC1=C(C=C(C=C1)[N+]([O-])=O)[S](Cl)(=O)=O,121-02-8,1.499
65,CCO[P](=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,311-45-5,5.184
66,CO[P](=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,298-00-0,4.641
67,CC(C)C1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,118-95-6,3.555
68,OC1=CC=C(NC2=CC=C(C=C2[N+]([O-])=O)[N+]([O-])=O)C=C1,119-15-3,1.246
69,ClCCO[P](=O)(OCCCl)OC1=CC=C(C=C1)[N](=O)=O,311-44-4,3.968
70,OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,88-89-1,3.059
71,[O-][N+](=O)C1=CC=C(C=C1)C2=CC=CC=C2,92-93-3,1.951
72,[O-][N+](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1,53558-25-1,4.643
73,O=[N](=O)C1=CC=C(OCC2CO2)C=C1,5255-75-4,1.591
74,NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,97-02-9,2.808
75,[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F,393-75-9,2.464
76,COC1=CC=C(C=C1)[N+]([O-])=O,100-17-4,1.823
77,[O-][N+](=O)C1=CC=C(C=O)C=C1,555-16-8,1.507
78,CCOC1=CC=C(C=C1)[N+]([O-])=O,100-29-8,1.705
79,OC1=CC=C(C=C1C=O)[N+]([O-])=O,97-51-8,2.321
80,COC1=CC=C(N)C(=C1)[N+]([O-])=O,96-96-8,1.077
81,NC1=CC=C(/C=C/C2=CC=C(C=C2[S](O)(=O)=O)[N+]([O-])=O)C(=C1)[S](O)(=O)=O,119-72-2,1.45
